Series ID,Year,Period,Label,Value
LASST010000000000003,2020,M01,2020 Jan,2.7
LASST010000000000003,2020,M02,2020 Feb,2.6
LASST010000000000003,2020,M03,2020 Mar,2.6
LASST010000000000003,2020,M04,2020 Apr,13.2
LASST010000000000003,2020,M05,2020 May,7.9
LASST010000000000003,2020,M06,2020 Jun,7.7
LASST010000000000003,2020,M07,2020 Jul,7.4
LASST010000000000003,2020,M08,2020 Aug,7.1
LASST010000000000003,2020,M09,2020 Sep,6.7
LASST010000000000003,2020,M10,2020 Oct,4.7
LASST010000000000003,2020,M11,2020 Nov,4.7
LASST010000000000003,2020,M12,2020 Dec,4.7
LASST010000000000003,2021,M01,2021 Jan,4.3
LASST010000000000003,2021,M02,2021 Feb,4
LASST010000000000003,2021,M03,2021 Mar,3.8
LASST010000000000003,2021,M04,2021 Apr,3.6
LASST010000000000003,2021,M05,2021 May,3.4
LASST010000000000003,2021,M06,2021 Jun,3.3
LASST010000000000003,2021,M07,2021 Jul,3.2
LASST010000000000003,2021,M08,2021 Aug,3.1
LASST010000000000003,2021,M09,2021 Sep,3.1
LASST020000000000003,2020,M01,2020 Jan,5
LASST020000000000003,2020,M02,2020 Feb,5.1
LASST020000000000003,2020,M03,2020 Mar,5.1
LASST020000000000003,2020,M04,2020 Apr,11.8
LASST020000000000003,2020,M05,2020 May,11.6
LASST020000000000003,2020,M06,2020 Jun,11.3
LASST020000000000003,2020,M07,2020 Jul,11
LASST020000000000003,2020,M08,2020 Aug,7.2
LASST020000000000003,2020,M09,2020 Sep,7
LASST020000000000003,2020,M10,2020 Oct,6.5
LASST020000000000003,2020,M11,2020 Nov,6.5
LASST020000000000003,2020,M12,2020 Dec,6.5
LASST020000000000003,2021,M01,2021 Jan,6.6
LASST020000000000003,2021,M02,2021 Feb,6.6
LASST020000000000003,2021,M03,2021 Mar,6.7
LASST020000000000003,2021,M04,2021 Apr,6.7
LASST020000000000003,2021,M05,2021 May,6.6
LASST020000000000003,2021,M06,2021 Jun,6.6
LASST020000000000003,2021,M07,2021 Jul,6.6
LASST020000000000003,2021,M08,2021 Aug,6.4
LASST020000000000003,2021,M09,2021 Sep,6.3
LASST040000000000003,2020,M01,2020 Jan,4.8
LASST040000000000003,2020,M02,2020 Feb,4.9
LASST040000000000003,2020,M03,2020 Mar,5
LASST040000000000003,2020,M04,2020 Apr,14.2
LASST040000000000003,2020,M05,2020 May,10.6
LASST040000000000003,2020,M06,2020 Jun,10.7
LASST040000000000003,2020,M07,2020 Jul,10.4
LASST040000000000003,2020,M08,2020 Aug,7
LASST040000000000003,2020,M09,2020 Sep,6.9
LASST040000000000003,2020,M10,2020 Oct,6.8
LASST040000000000003,2020,M11,2020 Nov,6.8
LASST040000000000003,2020,M12,2020 Dec,6.8
LASST040000000000003,2021,M01,2021 Jan,6.7
LASST040000000000003,2021,M02,2021 Feb,6.9
LASST040000000000003,2021,M03,2021 Mar,6.7
LASST040000000000003,2021,M04,2021 Apr,6.7
LASST040000000000003,2021,M05,2021 May,6.7
LASST040000000000003,2021,M06,2021 Jun,6.8
LASST040000000000003,2021,M07,2021 Jul,6.6
